"* Required Fields","* 必填栏目"
"&laquo; Back to Billing Information","&laquo; 返回账单信息"
"&laquo; Back to Select Addresses","&laquo; 返回选择地址"
"&laquo; Back to Shopping Cart","&laquo; 返回购物车"
"%s was added to your shopping cart.","%s已经添加至您的购物车."
"%s was successfully added to your shopping cart.","成功将%s加入购物车。"
"Add New Address","增加新地址"
"Add New Condition","添加新条款"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入收藏"
"Address","配送地址"
"Address %s of %s","第%s个地址，共%s个"
"After adding a product redirect to shopping cart","加入商品后转到购物车"
"Allow Guest Checkout","允许访客结帐"
"Already registered?","已注册？"
"An error occurred in the process of payment","支付过程发生错误"
"Apply Coupon","使用优惠券"
"Are you sure you would like to remove this item from the shopping cart?","您确认要从购物车中删除该商品吗？"
"An error occurred while deleting this condition.","删除条件时出错."
"An error occurred while saving this condition.","保存条件时出错."
"Apply Coupon","使用优惠券"
"Back","返回"
"Back to Shipping Information","返回配送方式"
"Based on your selection, you may be interested in the following items:","基于您的选择，您也许对以下商品感兴趣："
"Back to Select Addresses","Back to Select Addresses"
"Back to Shopping Cart","返回购物车"
"Billing Address","配送信息"
"Billing Information","配送信息"
"Billing Information - %s","配送信息 - %s"
"Can not add item to shopping cart","无法加入购物车"
"Can not apply coupon code.","无法使用优惠券。"
"Can't open overview page","无法打开概述页面"
"Cancel Coupon","取消优惠券"
"Cannot remove item","无法删除商品"
"Cannot update shopping cart","无法更新购物车"
"Card Verification Number Visual Reference","信用卡校验码可视参照"
"Cart Subtotal:","购物车小计："
"Cannot add item to the shopping cart.","不能添加项目到购物车."
"Cannot add the item to shopping cart","不能添加项目到购物车"
"Cannot add the item to shopping cart.","不能添加项目到购物车."
"Cannot apply the coupon code.","不能使用的尊享代码."
"Cannot open the overview page","不能打开总览页"
"Change","修改"
"Change Billing Address","修改账单地址"
"Checkbox text","选框提示文字"
"Checkout","去结算"
"Checkout as a Guest or Register","以访客身份结算或立即注册结算"
"Checkout as Guest","以访客身份结算"
"Checkout Conditions","购买条款"
"checkout method","结算方式"
"Checkout Method","结算方式"
"Checkout method","结算方式"
"Checkout Options","结算选项"
"Checkout Section","结算单元"
"Checkout Terms and Conditions","购买条款"
"Checkout with Multiple Addresses","发货到多个地址"
"City","城市"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","点击 <a href=""%s"" onclick=""this.target='_blank'"">这里打印</a> 您的订阅确认信息。"
"Click <a href=""%s"">here</a> to continue shopping.","点击<a href=""%s"">这里</a>继续购物."
"Close","关闭"
"Company","公司"
"Condition Name","条款名称"
"Condition was successfully deleted","成功删除条款"
"Condition was successfully saved","成功保存条款"
"Configurable product image","可设置商品的图片"
"Confirm Password","确认密码"
"Content","内容"
"Content Height","内容显示高度"
"Content Height (css)","内容显示高度 (css)"
"Continue","继续"
