"* Required Fields","* 必填项目"
"A new password was sent","新的密码已经发出"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","账户需要确认.请查看您的电子邮件.再<a href=""%s"">点击此处</a>确认电子邮件."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","账户需要确认.请查看您的电子邮件.再<a href=""%s"">点击此处</a>确认电子邮件."
"Account Dashboard","概览"
"Account Information","个人信息"
"Account information was successfully saved","帐户信息已成功保存"
"Account Sharing Options","帐户共享选项"
"Action","操作"
"Add New Address","增加新的地址"
"Add New Customer","增加新的客户"
"Add New Customer Group","增加新的客户分组"
"Added From","加自"
"Additional Address Entries","其他地址"
"Address","地址"
"Address Book","收货地址"
"Address Books","通讯录"
"Address Information","地址信息"
"Addresses","地址"
"Admin","管理员"
"All","所有"
"All countries","所有国家"
"All Store Views","所有商店界面"
"ALL GROUPS","所有分组"
"Always optional","总是可选"
"Amount","金额"
"An error occurred while deleting the address.","删除地址时出错."
"An error occurred while retrieving the option value: %s.","检索选项值时出错: %s."
"An error occurred while saving the collection, aborting. Error: %s","保存收藏时出错,错误警告: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","一个无效的选项ID被指定为%s (%s),跳过记录."
"Approved","已批准"
"Are you sure that you want to remove this item?","您确认要删除该项目吗？"
"Are you sure you want to cancel adding of this address?","您确认要取消增加该地址吗？"
"Are you sure you want to delete this address?","您确认要删除该地址吗？"
"Are you sure?","您确定吗？"
"Array of Entity collections is expected","需要实体组合的数组"
"Assign a customer group","指定客户分组"
"Average Sale","平均销售"
"Back","返回"
"Back - link to the previously viewed page","返回 - 链接到之前浏览页"
"Back to Login","返回登录"
"Bad request.","错误的请求。"
"Bill to Name","账单收件人"
"Billing Information","配送信息"
"Bought From","购买自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","注册您自己的帐户，结算更方便迅速，而且可以保存多个送货地址、查看订单状态等。"
"Can't save address","无法保存地址"
"Can't save customer","无法保存客户"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","客户帐号无法全局共享，因为部分客户帐号在多个网站使用相同的电子邮件，记录无法合并。"
"Cancel","取消"
"Change Account Password","修改帐户密码"
"Change Billing Address","修改账单地址"
"Cannot save address.","不能保存地址."
"Cannot save the address.","不能保存地址."
"Cannot save the customer.","不能保存客户."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","不能分享客户账户,因为一些客户在全球范围内的各个网站中具有相同的电子邮件,且不能被合并."
"Change Account Password","修改账户密码"
"Change Billing Address","修改账单地址"
"Change Password","修改密码"
"Change Shipping Address","修改地址"
"City","城市"
"Company","公司"
"Config","设置"
"Confirm New Password","确认新的密码"
"Confirm Password","请重新输入密码确认"
"Confirmation Link Email","确认链接邮件"
"Confirmed","已验证"
"Contact Information","联系信息"
"Continue Shopping","继续购物"
"Country","国家"
"Create","创建"
"Create an Account","立即注册"
"Create customer","创建客户帐号"
"Create customer address","创建客户地址"
"Create New Account Options","新帐户选项"
"Create New Customer Account","注册登录"
"Create Order","创建订单"
"CSV","CSV"
"Current Password","当前密码"
"Customer","客户"
"Customer Account Edit Form","客户账户修改表"
"Customer Account Login Form","客户账户登录表"
"Customer Account Logout Success","客户账户登出成功"
"Customer Account Registration Form","客户账户注册表"
"Customer Addresses","客户地址"
"Customer Api","客户Api"
"Customer collection expected","需要客户组合"
"Customer Configuration","客户设置"
"Customer doesn't have primary billing address","客户没有首选账单地址"
"Customer email already exists","客户的邮件地址已存在"
"Customer Group","客户分组"
"Customer Group was successfully deleted","成功删除客户分组"
"Customer Group was successfully saved","成功保存客户分组"
"Customer Groups","客户分组"
"Customer Information","客户信息"
"Customer Login","用户名"
"Customer My Account (All Pages)","我的账户(所有页面)"
"Customer My Account Address Book","我的账户通讯录"
"Customer My Account Address Edit Form","我的账号地址修改表"
"Customer My Account Dashboard","我的账户首页"
"Customer Since","注册日期"
"Customer View","客户界面"
"Customer website id must be specified, when using website scope.","使用网站范围时必须指定网站 id."
"Customer will stay on the current page if ""No"" is selected.","如果选择""No"",客户将停留在此页面."
"Customers","客户"
"Customers Only","仅限客户"
"Customers Section","客户单元"
"Date","日期"
"Date Added","添加日期"
"Date of Birth","出生日期"
"Date of Birth is required.","必须填写出生日期。"
"Day","日"
