"-- Please Select --","-- 请选择 --"
"Add New Class","增加新税种"
"Add New Tax Rate","增加新税率"
"Add New Tax Rule","增加新税则"
"Apply Discount On Prices Including Tax","折扣在含税价格上进行"
"Apply Tax After Discount","折扣后计算税收"
"Apply Tax On","对如下价格计算税收"
"Are you sure you want to do this?","您确认要这么做吗？"
"*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","*' - 匹配任何; 'xyz*' - 在 'xyz'开始时匹配任何但最长不超过%d."
"An error occurred while deleting this rate.","删除率时出错."
"An error occurred while deleting this rate. Incorrect rate ID.","删除率时出错.不正确率ID."
"An error occurred while deleting this tax class.","删除税类时出错."
"An error occurred while deleting this tax rule.","删除税收规则时出错."
"An error occurred while saving this rate.","保存率时出错."
"An error occurred while saving this tax class.","保存税类时出错."
"An error occurred while saving this tax class. A class with the same name already exists.","保存税类时出错.已存在相同税类名称."
"An error occurred while saving this tax rule.","保存税收规则时出错."
"Apply Customer Tax","客户申请税"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","申请含税价格是基于折扣商店税,如果""使用税控折扣后""被选中."
"Apply Discount On Prices","申请税扣价格"
"Apply Tax On","申请税在"
"Are you sure you want to do this?","您确定要这么做吗"
"Back","返回"
"Calculation","计算"
"Catalog prices include tax","目录价格包含税收"
"Before Discount","折扣前"
"Calculation Settings","计算设置"
"Catalog Prices","目录价格"
"Class Name","税种名称"
"Code","代码"
"Country","国家"
"Country/Region/Postal code combination","国家/地区/邮政 代码格式"
"County","国家"
"CSV","CSV"
"Custom price if available","自定义价格（若有）"
"Customer Tax Class","客户税种"
"Customer Tax Class Information","客户税种信息"
"Customer Tax Classes","客户税种"
"Default Country","默认国家"
"Default Post Code","默认邮编"
"Default State","默认州、省"
"Default Tax Origin Calculation","默认税收地计算"
"Delete Class","删除税种"
"Delete Rate","删除税率"
"Delete Rule","删除税则"
"Display","显示"
"Display Cart/Order Prices","显示购物车/订单价格"
"Display full tax summary","显示完整税收说明"
"Display Product Prices","显示商品价格"
"Display Shipping Prices","显示配送价格"
"Display Zero Tax Subtotal","显示不含税总额"
"Edit Class","修改税率"
"Edit Class '%s'","修改税种'%s'"
"Edit Rule","修改税则"
"Edit Tax Rate","修改税率"
"Error while deleting this class. Please try again later.","删除该税种时出错，请稍后重试。"
"Error while deleting this rate. Incorrect rate ID","删除该税率时出错，税率编号不正确"
"Error while deleting this rate. Please try again later.","删除该税率时出错，请稍后重试。"
"Error while deleting this tax rule. Please try again later.","删除该税则时出错，请稍后重试。"
"Error while saving this rate. Please try again later.","保存该税率时出错，请稍后重试。"
"Error while saving this tax class. Class with the same name ","保存该税种时出错，税种名重复"
"Error while saving this tax class. Please try again later.","保存该税种时出错，请稍后重试。"
"Error while saving this tax rule. Please try again later.","保存该税则时出错，请稍后重试。"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","保存此税则出现错误。此商品税种、客户税种及税率组合"
"Excl. Tax","不含税"
"Excl. Tax:","不含税："
"Excluding tax","不含税"
"Export Tax Rates","导出税率"
"Ignored when 'Apply Tax After Discount' option is enabled","若启用“在折扣后计算税收”选项，此项将被忽略"
"Grand Total (Excl. Tax)","总计(不含税)"
"Grand Total (Excl.Tax)","总计(不含税)"
"Grand Total (Incl. Tax)","总计(含税)"
"Grand Total (Incl.Tax)","总计(含税)"
"Grand Total Excl. Tax","不含税总计"
"Grand Total Incl. Tax","含税总计"
"Import / Export Tax Rates","导入/导出税率"
"Import Tax Rates","导入税率"
"Inc. Tax","含税"
"Incl. Tax","含税"
"Incl. Tax:","含税："
"Include Tax In Grand Total","包含税收总计"
"Including and excluding tax","含税和不含税"
"Including tax","含税"
"Incorrect rate Data","税率数据不正确"
"Invalid data for tax rate calculation","税率计算数据不正确"
"Invalid file format upload attempt","上传文件格式不正确"
"Invalid file upload attempt","上传文件不正确"
"Manage Customer Tax Classes","管理客户税种"
"Manage Product Tax Classes","管理商品税种"
"Manage Tax Rates","管理税率"
"Manage Tax Rules","管理税则"
"Manage Tax Zones & Rates","管理税区和税率"
"Name","名称"
"New Class","新税种"
"New Rule","新税则"
"New Tax Rate","新税率"
"No","不"
"None","无"
"One of the country has invalid code.","有一个国家代码不正确"
"Orders, Invoices, Creditmemos Display Settings","订单,发票,付款通知显示设置"
"Original price only","只对原价"
"Please select Country","请选择国家"
