"-- Please Select --","-- 请选择 --"
"(%d)","(%d)"
"(Copy data from: %s)","(复制数据自: %s)"
"(Will make search for the query above return results for this search.)","(该搜索将以上面返回的结果来查询。)"
"[GLOBAL]","[全站]"
"* Required Fields","* 必填项"
"# of Use","使用次数"
"%1$s incl tax.","%1$s 含税。"
"%s - %s","%s - %s"
"%s Item(s)","共 %s 项"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","默认86400,如果没有设定.立即更新,清除HTML输出缓存."
"A group with the same name already exists.","一组具有相同名称的已存在."
"A name is required","名字必填"
"A product type is not defined for the indexer.","产品类型没有加定义."
"Action","操作"
"Add Attribute","增加属性"
"Add Design Change","增加界面设计"
"Add Group","增加分组"
"Add Items to Cart","加到购物车"
"Add New","增加"
"Add New Attribute","增加新属性"
"Add New Attribute Set","增加新属性组合"
"Add New Group","增加新分组"
"Add New Images","增加新图片"
"Add New Option","添加新的选项"
"Add New Row","添加新行"
"Add New Search Term","增加新搜索关键词"
"Add New Set","增加新组合"
"Add Option","增加选项"
"Add Product","增加商品"
"Add Product To Websites","增加商品到网站"
"Add Root Category","添加根目录"
"Add Subcategory","添加子目录"
"Add Tax","添加税"
"Add Tier","增加层次"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Compare","比较"
"Add to My Wishlist","加入收藏"
"Add to Wishlist","加入收藏"
"Additional Information","更多信息"
"Alert Urls","警报Urls"
"All","全部"
"ALL GROUPS","所有分组"
"All Product Types","所有商品类型"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","所有使用此属性集合的商品将会被删除！您确定要删除此属性集合吗？"
"All Websites","所有网站"
"Allow All Products per Page","允许每一页的所有产品"
"Allow Dynamic Media URLs in Products and Categories","在产品和分类中允许加入动态媒体链接"
"Allow HTML-tags on Front-end","允许HTML标签在前台"
"Allowed File Extensions","允许文件扩展名"
"Allowed file extensions to upload","允许上传文件的扩展名"
"AM","上午"
"An error occurred while adding customers for the %s alert. Message: %s","增加%s的客户时出现了错误,警报信息: %s"
"An error occurred while adding products to websites.","给网站增加产品时出现了错误."
"An error occurred while clearing comparison list.","清除对比列表时出现了错误."
"An error occurred while removing products from websites.","从网站移除产品时出现了错误."
"An error occurred while saving the attribute set.","保存属性集时出现了错误."
"An error occurred while saving the collection, aborting. Error message: %s","保存收藏时出错,警告,出错信息: %s"
"An error occurred while saving the product. ","保存产品时出错. "
"An error occurred while saving the search query.","保存搜索请求时出错."
"An error occurred while saving the URL rewrite.","保存URL重写时出错."
"An error occurred while saving this group.","保存组时出错."
"An error occurred while trying to delete the category.","试着删除产品分类时出错."
"An error occurred while updating the product(s) attributes.","更新产品属性时出错."
"An error occurred while updating the product(s) status.","更新产品状态时出错."
"An invalid option ID is specified for %s (%s), skipping the record.","一个指定%s (%s)的无效选项ID,跳过此记录."
"An invalid store was specified.","指定了一个无效的商店."
"Anchor Custom Text","自定义锚文本"
"Anchor Custom Title","自定义锚标题"
"Amount","数量"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","只适用于产品目录和分类,可编辑任何媒体内容到静态URL.基于URL改变的系统配置没有被更新."
"and","和"
"and1","，"
"save1","折扣"
"and above","及以上"
"Apply To","应用于"
"Apply To Configurable/Grouped Product","应用于可设置/组合商品"
"Approved","已批准"
"Are you sure you want to delete this category?","您确定要删除该分类吗？"
"Are you sure you would like to remove this item from the compare products?","您确定要从比较商品中删除本商品吗？"
"Are you sure?","您确定吗？"
